1000 10000
257 464 81510
29 960 0
453 964 33110
506 810 0
15 948 17660
240 566 75520
696 912 84530
653 782 68820
184 541 90230
136 888 0
140 427 22780
343 496 6870
8 189 31730
304 504 75330
212 655 64780
431 660 29830
233 536 74860
359 713 60840
211 365 47070
618 767 15520
201 762 30780
298 700 31840
441 763 65960
33 84 29930
172 495 23390
217 832 70780
705 876 0
520 775 31570
313 550 29340
884 988 96510
712 919 10440
326 445 5030
369 955 0
155 468 59710
427 609 14530
634 827 0
191 419 38580
36 103 13590
432 962 11240
431 683 18930
423 608 62960
388 703 65810
314 996 34990
680 713 88440
598 977 95260
681 775 86590
420 637 0
333 447 29560
183 697 73790
346 959 0
599 733 8580
59 231 74530
555 984 27860
485 651 11090
674 903 87580
102 676 69520
572 914 83890
303 722 40530
619 873 31010
266 320 32580
22 247 74760
228 481 0
415 519 93010
80 628 81140
482 833 96040
63 147 0
7 964 10920
179 611 29220
419 659 83860
489 679 37640
98 968 46620
269 459 73240
557 805 0
144 183 33140
897 984 21590
650 994 80870
10 274 91830
558 664 90460
464 671 63890
17 394 14060
509 525 87790
696 898 6560
385 588 62370
9 338 0
266 708 58760
319 519 0
176 697 0
58 678 66270
218 410 23570
804 934 0
131 160 90240
640 735 2010
107 192 1580
863 924 0
439 899 65880
106 117 28290
14 374 2690
114 831 76930
72 477 77310
536 801 84120
642 701 72410
225 291 27990
734 769 91860
594 911 66190
28 616 0
305 946 0
607 779 0
27 428 63130
196 729 12990
681 735 7610
497 910 14770
875 892 11090
107 109 34680
44 859 41560
603 888 0
91 811 0
314 479 0
212 750 0
300 817 74920
509 547 67310
104 826 53820
535 774 13420
224 433 37240
250 624 87630
494 638 10220
285 969 34630
105 798 18770
932 944 0
329 599 42220
446 637 68490
348 464 95970
559 732 88340
653 766 45290
7 928 5590
40 340 1060
312 454 35670
691 732 37870
569 756 58420
116 270 25080
236 852 92980
254 492 0
386 793 87770
590 601 0
144 537 66290
52 209 3460
155 411 12110
610 987 29330
514 602 41670
248 258 12030
300 345 59340
84 315 58770
85 226 15610
168 355 47670
38 374 41760
729 962 98040
471 597 0
8 820 63330
835 988 44130
714 902 75190
715 879 84060
146 803 0
176 719 40320
190 620 18970
444 581 0
607 727 35110
62 272 41320
72 738 22170
231 303 47540
707 993 0
780 959 58570
126 739 96730
430 862 3580
481 756 20260
118 422 41390
574 787 0
325 799 63960
563 917 73680
153 648 73180
201 372 0
532 749 0
206 643 19060
244 359 15010
82 939 49720
165 429 0
193 402 97120
795 867 21580
261 360 70040
846 854 27440
112 233 75090
653 790 50510
37 876 70780
438 853 81330
740 990 36740
520 737 36360
251 652 25890
382 787 38710
302 339 40810
340 518 83970
429 462 97780
657 853 0
35 741 97460
65 454 0
110 240 680
355 525 22720
601 927 80110
185 294 58930
226 300 82910
675 783 18560
394 413 12970
521 900 0
302 308 10240
350 618 0
500 715 18040
285 564 20980
557 580 83370
514 672 42380
7 179 79360
531 589 89260
201 775 79730
578 625 41660
247 903 27780
70 567 87420
638 865 970
135 629 99010
6 230 0
779 929 0
337 838 51820
774 945 45570
744 881 81590
51 423 67590
333 624 93690
103 458 0
281 582 31540
16 633 0
91 794 26840
413 957 67670
596 920 0
298 833 57990
566 775 62690
771 802 91010
166 851 93140
898 965 56360
358 728 0
623 820 78230
132 927 93560
679 939 52540
241 328 26960
521 729 0
534 742 8870
125 663 89230
56 118 83620
335 636 17930
385 504 35720
372 969 14740
504 780 0
136 438 21370
218 579 73260
444 610 0
148 999 22290
10 13 16810
837 941 0
547 967 97490
528 650 71870
214 676 5770
210 987 78970
67 470 80990
115 714 83760
339 408 80080
302 909 77780
35 381 92810
628 743 87630
359 800 39690
209 325 94530
776 827 94770
659 852 4160
472 589 57760
583 603 93610
364 367 3980
437 829 6380
694 875 50720
592 653 0
404 494 53270
521 885 69960
46 435 83180
113 502 29210
378 666 0
346 734 53520
42 614 76470
112 341 13010
162 261 72730
521 632 0
200 802 28920
740 748 26790
101 750 4080
640 670 0
249 958 0
693 776 55390
568 921 19280
177 924 0
693 728 24280
20 247 0
623 660 37890
320 967 0
622 721 70510
68 537 45260
491 721 31820
721 764 57720
708 770 69470
156 454 40170
414 520 23640
220 297 0
208 754 58330
43 874 0
307 766 81780
529 701 17920
346 807 98060
133 580 39320
154 652 18840
350 817 0
239 643 25830
637 871 0
351 967 4720
60 444 11460
159 794 24780
195 847 38920
15 590 28580
6 473 79860
94 690 20180
72 615 58440
234 623 38090
299 500 53320
409 795 23510
136 370 21610
379 387 91740
825 867 23760
497 937 0
705 725 7640
421 763 0
478 900 53680
340 896 80690
45 620 0
351 976 26180
414 808 71990
159 610 56530
9 538 83220
100 710 30180
557 838 83220
338 646 0
270 918 27530
89 571 73990
151 877 0
36 920 66760
734 783 64380
226 430 20220
324 617 2670
711 798 85970
143 819 84990
246 305 99260
279 806 76160
355 453 0
441 557 76320
672 985 69060
541 636 62880
545 613 57410
752 973 38770
543 555 23130
614 920 75040
69 313 57560
489 933 74990
61 858 38170
568 857 46090
489 636 0
111 916 81370
398 678 51780
14 724 44590
748 930 42890
227 983 51860
617 749 22120
22 691 45430
306 591 0
150 871 34270
375 532 7570
130 169 43780
871 893 82380
373 417 5280
64 949 16810
413 645 32610
150 913 97530
364 982 0
34 166 52730
363 905 43460
784 870 80
221 740 590
442 711 20420
507 929 51160
111 194 14960
9 600 26680
235 257 37960
133 686 0
241 729 7040
587 881 44940
26 184 4320
347 666 0
292 688 55960
205 933 47340
680 757 0
98 348 55010
92 278 87110
823 899 60010
85 184 68740
499 569 11090
648 762 12070
228 480 93310
14 204 93890
87 746 94070
379 652 85420
652 779 73160
188 673 44910
366 602 0
264 477 6510
240 918 99790
534 954 3510
845 939 23120
289 671 0
636 669 0
130 943 33560
190 377 47480
677 687 73320
825 970 11790
99 241 0
317 801 48730
552 610 0
189 238 41530
29 157 98320
29 450 91890
385 460 46310
670 729 31070
561 694 22560
76 320 99070
53 467 20940
446 897 86680
393 410 20330
146 823 23490
112 464 1630
245 564 59090
694 912 0
236 585 28970
331 348 94970
430 609 0
426 928 69340
288 500 59360
91 946 77610
256 931 63810
407 509 69810
191 598 0
300 805 0
17 642 66320
649 935 0
262 552 18470
646 663 520
115 425 0
216 764 86640
121 356 11780
498 868 0
636 838 15670
128 489 37620
413 516 30630
198 240 0
669 985 10120
345 465 88420
499 656 45130
59 486 65120
87 768 98660
76 653 72810
203 315 0
637 927 58680
318 932 44520
472 772 27260
716 827 41310
591 904 0
823 904 29540
15 19 85460
168 994 240
56 702 0
135 703 86970
283 780 96790
816 891 41290
147 952 11490
39 721 41590
8 747 85440
849 943 33190
21 428 21970
606 818 75740
699 859 72260
27 572 95210
558 643 82980
56 104 35060
68 177 10330
869 940 430
262 627 38840
77 781 0
602 812 62670
94 851 7760
294 804 9990
344 657 19310
675 787 98240
338 773 82070
168 297 74480
769 937 0
389 961 4610
290 642 21940
469 907 62930
256 413 24040
166 229 590
276 430 42830
850 992 6780
678 717 66360
66 258 34780
131 138 5320
292 559 78520
752 823 40990
327 624 66140
243 873 28870
55 230 0
458 856 0
662 936 59760
70 647 37510
430 971 0
238 871 8210
128 346 24410
180 648 0
83 306 0
356 484 37810
15 825 49830
60 241 23880
144 953 11060
64 803 0
78 608 37020
150 697 13840
399 600 18240
492 528 0
273 951 28980
145 620 38690
120 587 10390
120 507 36090
233 920 46070
34 63 0
123 709 42830
509 908 47970
118 532 38660
806 986 99670
475 929 36190
178 606 91530
224 652 90110
103 774 0
566 626 0
531 806 71640
874 970 0
112 924 0
559 863 17210
244 773 49140
857 992 72380
561 944 17460
105 293 0
9 216 73830
298 814 80080
476 503 39830
233 891 50510
404 509 21340
476 796 82260
770 794 32630
214 543 94570
239 351 0
286 669 0
576 724 25930
578 769 3730
644 708 0
368 788 65580
492 787 95480
710 812 0
117 787 0
608 766 4660
460 712 0
802 810 79980
98 767 49740
132 513 2280
401 407 77820
940 957 55440
530 806 14610
352 907 98580
159 838 3490
858 973 6890
532 580 38170
403 740 0
129 940 0
111 419 0
204 267 63760
171 693 37410
37 431 85490
831 957 87260
753 825 0
493 821 0
590 958 15870
131 724 22510
288 302 70920
151 626 0
424 922 16770
442 678 34780
525 684 65820
788 797 34880
251 537 1840
348 514 0
26 889 32810
171 462 55710
48 626 63690
689 849 49080
350 913 11360
459 734 0
137 857 77620
611 693 7160
774 907 0
208 434 0
114 168 0
105 429 37230
529 560 3760
153 844 21890
215 943 45370
937 971 98890
115 586 6380
713 889 0
123 843 61080
753 893 50020
361 880 25230
32 734 62710
195 567 7960
141 915 7670
269 623 63970
727 949 92760
202 269 65990
386 673 26880
313 363 81540
242 840 0
41 522 0
205 259 23210
551 869 80070
357 451 0
317 445 12170
190 523 37860
744 786 17390
141 617 77880
345 793 9420
441 812 32060
83 297 98260
42 417 39730
178 426 74960
218 232 52590
516 825 25340
615 794 1060
256 599 98440
456 591 60610
817 947 68540
398 825 84620
526 983 99990
104 512 40330
128 446 36920
334 857 48420
799 824 86730
454 996 87560
289 986 0
325 344 0
868 902 26840
110 254 73060
39 533 52080
236 436 10510
26 758 81060
433 595 0
89 367 0
70 193 29570
174 420 27090
109 926 58120
379 771 64280
261 659 68590
298 396 39570
409 527 820
213 734 63140
775 880 50760
601 951 73230
36 950 0
710 779 8720
328 756 3310
428 573 24670
392 667 26370
146 739 47210
446 531 19970
170 363 77110
92 258 57420
363 716 560
663 700 93820
795 927 0
597 708 48570
383 936 75220
67 314 46770
824 883 29740
383 827 0
144 757 23090
285 805 58630
770 783 67940
365 973 99340
139 296 0
135 743 51930
243 576 70980
171 754 7780
884 922 58160
508 962 39940
540 915 22720
212 834 81740
417 442 26810
471 641 30870
153 786 28970
162 351 0
106 225 83840
292 748 36890
747 910 0
568 873 96320
220 491 39890
686 856 54330
339 452 84380
362 796 70090
413 587 56930
113 148 23220
609 960 57080
153 582 60840
70 856 0
161 477 18820
330 727 0
403 544 82640
43 192 0
634 982 23330
480 813 63070
92 445 44470
372 939 60140
43 684 90870
613 981 55280
146 724 4480
16 996 69370
291 765 14440
52 850 15310
280 287 54290
189 973 0
431 513 0
540 565 19420
196 812 10130
704 870 83020
130 633 7130
67 867 71020
154 797 0
55 529 40920
927 951 98040
632 877 64120
768 977 38280
309 673 86610
374 521 33910
323 539 0
446 967 0
776 968 420
972 978 49910
422 643 17590
71 988 43890
305 659 2920
231 571 0
381 729 86710
207 721 81440
633 687 48920
680 702 66370
113 205 16440
258 497 33180
432 906 28660
465 610 24270
427 761 0
646 892 16240
98 450 58340
334 434 52530
683 848 37920
137 377 54440
385 818 0
278 661 22890
76 84 13630
256 406 97330
523 707 0
227 978 73280
30 47 88280
68 91 19120
549 966 91440
615 737 84580
134 729 9690
575 992 81860
110 391 15640
556 816 57810
285 601 20490
230 283 91370
19 26 1760
591 998 0
62 499 51880
461 947 43970
25 324 31280
342 922 99330
631 894 3010
82 525 0
142 500 87610
603 844 0
335 341 55560
457 506 34260
454 650 0
526 620 75310
35 702 15020
427 780 31730
299 653 44170
133 601 0
127 327 67130
612 693 0
245 415 0
130 665 58180
484 732 40680
126 492 0
36 535 40230
22 931 18020
526 836 0
323 703 0
24 427 88140
153 878 15410
512 581 91760
200 248 7860
413 619 64780
152 823 89570
127 703 48910
32 601 98340
636 921 20010
194 986 71360
753 762 16010
928 939 94420
158 534 51030
9 860 60970
274 980 80970
539 798 75180
14 500 74680
349 579 81670
213 533 0
376 631 0
230 979 81980
55 383 58030
119 909 53870
743 870 27940
853 857 76310
230 971 46340
306 519 24630
580 663 59530
70 528 43790
438 967 45370
345 681 59110
567 920 30610
574 823 38180
135 635 63870
43 707 0
706 919 75810
376 440 57580
32 693 59090
34 885 0
552 817 94770
484 498 71790
93 271 710
236 502 0
521 998 57890
237 374 47080
565 940 79330
235 473 2220
273 536 58960
208 831 81010
547 900 0
217 871 89580
691 865 35260
421 560 45560
147 275 51990
134 150 33170
364 838 77770
5 444 75420
434 632 3460
717 912 79290
137 676 89390
535 597 14020
358 639 7340
229 466 27560
809 889 0
315 662 28590
312 837 0
131 270 30820
768 869 59580
41 124 6640
485 833 5470
140 628 80730
577 657 0
290 625 37490
143 229 57820
634 946 6090
370 828 16960
444 710 97020
535 831 11690
435 714 56970
401 942 50460
619 796 13220
209 657 0
745 847 0
279 626 49530
371 813 65630
695 931 20470
254 423 0
904 982 73780
55 829 91620
533 713 40410
240 247 540
96 994 84920
21 427 91170
465 656 34520
220 386 12290
448 877 87190
48 411 91380
18 445 57820
250 930 32930
473 912 21270
550 957 0
61 762 85160
213 305 49620
975 997 6320
645 991 97520
255 940 20490
268 835 12160
733 744 14490
578 605 58960
275 850 10580
125 848 17720
272 279 54670
297 569 26280
441 582 0
76 607 0
258 812 91820
37 83 0
202 434 76920
526 813 94230
83 377 26680
5 259 26660
459 895 43210
937 995 43230
330 465 0
478 615 81870
133 248 43210
754 993 95430
489 892 66990
705 906 57040
247 858 97690
143 298 59610
635 749 49090
753 810 73970
146 434 92960
688 922 36640
59 558 87370
190 581 0
257 975 68910
42 727 0
30 577 28040
98 948 88680
201 468 61570
312 867 47920
472 687 34590
489 519 93070
321 524 88570
333 550 15370
449 747 28510
470 931 67390
539 703 47870
333 904 3070
898 964 61330
430 901 32090
578 616 50290
375 914 45710
534 629 68060
593 683 70140
131 140 88720
265 896 20910
323 424 0
963 999 88570
193 827 0
35 849 60630
553 720 0
439 490 92630
363 778 97980
220 765 0
170 245 25640
256 831 3530
295 424 12690
394 507 94460
610 654 56940
157 804 90820
318 529 0
593 638 52560
439 512 3340
691 726 88540
472 514 29390
31 409 66670
344 841 0
95 496 52570
856 898 0
821 832 6640
142 633 72210
101 886 7930
441 503 60260
8 116 76940
626 734 76260
178 920 0
80 213 11110
9 144 0
272 597 25430
686 709 69390
431 533 54270
194 389 0
303 330 18020
130 316 0
67 646 83080
252 660 59190
125 386 78390
594 992 13940
240 431 21040
632 914 18940
165 386 29180
329 583 35130
122 924 0
473 655 62990
89 832 0
772 933 94690
394 499 83340
392 802 0
652 871 70720
544 894 71180
68 366 83640
200 380 53360
248 393 0
771 879 11460
415 753 93730
194 605 96690
681 976 0
326 905 0
179 260 23270
520 961 18320
79 718 24420
388 901 81540
302 463 0
466 493 0
179 829 50230
454 467 10260
373 669 920
190 645 58320
146 642 0
34 190 0
222 406 64280
61 313 85570
509 768 68480
383 780 0
547 857 58020
630 807 9560
732 865 60240
95 171 70480
654 679 68260
489 821 53710
265 985 82730
350 881 65880
205 344 3120
436 667 60580
567 835 0
161 928 97860
352 831 98530
455 928 36090
587 825 40510
308 888 0
274 439 8780
42 774 39930
176 715 2810
115 879 10880
67 714 0
5 211 73380
391 539 1640
258 317 0
254 306 58810
175 795 0
424 704 71860
412 737 59760
140 749 0
237 797 95740
733 901 0
832 864 85570
17 696 74670
608 857 6190
480 546 45510
541 651 55060
802 924 99860
38 689 11610
132 985 0
150 738 63430
390 527 60190
64 433 34230
242 489 10390
193 692 0
576 743 0
150 178 24310
315 582 0
74 992 7240
755 867 82360
312 938 47930
176 233 32840
209 814 4510
276 971 23440
483 618 74370
278 951 70890
170 503 47730
231 444 78930
19 30 0
455 843 87830
389 466 0
261 526 43840
558 829 78340
507 800 93940
816 999 46270
376 916 38560
667 748 0
713 996 0
413 980 0
778 966 0
372 679 88170
163 281 45440
512 837 99830
985 997 67170
103 320 0
184 968 72630
297 779 0
627 893 56910
13 235 35260
357 453 16370
244 567 13630
169 905 0
354 737 0
316 796 0
359 749 9240
3 960 0
287 742 17480
224 522 91780
284 470 72790
331 588 0
385 427 0
166 913 46840
640 819 90630
330 888 87630
529 877 31480
332 347 60230
106 367 61780
360 824 34190
311 605 35880
273 493 88560
10 494 95570
488 987 99860
33 844 0
593 894 34890
262 747 0
91 520 99980
835 911 0
472 504 52490
667 972 75080
138 290 0
563 979 31880
88 296 4630
198 897 84120
16 84 56570
25 613 61290
379 823 0
794 840 0
106 915 39060
334 636 30710
57 326 31420
572 938 48830
467 495 73420
32 639 69390
806 943 60370
345 603 4140
205 555 87710
773 805 0
300 490 0
91 822 57040
46 306 35220
37 109 67060
142 657 49010
230 237 68040
212 499 29470
88 269 82930
511 685 48680
851 859 99780
690 818 79210
132 412 61960
104 339 97610
173 554 0
261 847 20880
638 946 290
632 760 0
172 456 62290
176 784 98870
571 911 5940
547 910 45540
6 759 7260
128 463 44020
445 928 82820
163 547 37670
395 537 62840
115 350 74930
782 785 61090
337 713 83920
588 644 37230
559 973 13980
54 469 36590
126 485 88140
49 989 89960
556 602 60060
770 981 60670
673 823 71630
500 801 54960
561 634 0
578 607 22270
117 683 76620
521 945 15530
543 647 6980
36 560 23660
29 723 41690
131 139 22490
444 570 0
210 807 42040
252 349 74670
823 857 83410
281 426 12390
403 649 76940
481 988 89110
105 566 53860
96 193 0
606 948 38210
102 714 86110
97 862 73080
145 379 72830
557 736 98420
48 164 8830
112 915 51630
298 423 81590
264 708 27380
129 386 65030
849 888 4980
292 337 0
444 829 32870
310 785 27990
302 575 43280
823 938 49170
238 731 8390
365 415 51770
243 904 18480
345 589 0
137 495 0
297 323 0
825 827 0
808 930 0
76 301 7870
149 726 59620
496 729 78230
220 285 83330
718 795 27510
701 912 26210
73 793 77640
775 949 0
732 814 51020
293 867 74780
463 633 49270
787 858 7140
672 923 4080
457 556 47430
200 995 13680
439 614 17090
574 987 64340
13 180 73730
60 592 0
644 843 0
457 641 73470
559 572 0
690 839 49680
400 815 1230
426 650 5620
324 957 33670
692 964 73280
599 665 0
359 927 86760
576 937 64980
191 431 95120
247 900 0
231 662 57480
351 926 0
96 585 92130
262 803 57170
575 606 49080
861 977 46940
319 762 0
233 792 85490
42 442 12740
683 867 26960
228 464 72320
455 908 84130
8 964 0
269 622 48790
25 248 37720
294 611 4160
137 557 9070
426 925 36480
289 685 60770
36 673 20630
188 985 46220
19 695 71820
200 801 0
164 569 0
539 717 0
340 903 22740
127 552 0
263 581 77830
296 535 61140
289 924 72270
83 908 24630
223 564 40380
117 541 0
282 904 20190
592 857 87820
135 926 0
257 959 61980
8 220 0
36 786 22520
16 245 48580
732 906 77880
81 135 14660
63 120 22690
410 519 74010
128 477 0
82 980 64110
729 774 55090
10 130 65940
430 458 66010
390 427 58160
659 678 21840
241 651 64010
753 830 0
675 731 27070
587 967 37120
509 803 44080
398 445 83470
194 804 40760
258 428 55020
397 487 11110
62 586 48530
160 313 77420
38 379 47160
147 834 56770
344 727 0
162 459 53630
455 868 69790
736 840 92410
88 792 33090
283 756 23290
344 537 20140
816 981 0
145 393 8320
52 646 83620
98 911 0
149 282 0
464 796 0
472 533 15620
196 454 50790
666 752 60260
636 802 44540
188 979 7730
360 437 65140
605 837 26470
204 912 0
758 933 99780
186 597 89210
431 776 0
148 831 52820
112 351 28340
242 479 0
308 733 93410
236 624 15280
876 976 23710
194 514 15980
614 914 33890
22 323 0
104 871 96510
305 531 30090
413 810 5890
349 610 13440
161 769 71040
391 792 0
282 514 56870
119 628 5190
410 626 5440
189 704 48470
516 676 37120
105 412 82880
161 415 68380
689 861 3520
120 870 12230
37 425 81880
36 68 12390
387 441 54490
573 647 0
292 990 58970
36 246 13990
82 417 19420
101 329 0
876 1000 51990
337 736 71670
507 727 47740
811 955 10370
187 572 0
60 612 44660
59 451 20290
408 969 19640
247 816 13130
707 936 33820
23 209 15390
55 858 36040
245 988 95470
286 315 2620
522 537 85540
588 732 44170
29 668 58480
471 506 85470
429 505 0
528 699 10580
615 837 46980
733 881 0
347 988 31110
520 696 64310
115 209 11180
178 952 55360
155 867 92920
62 821 21570
368 601 66430
447 487 36110
443 927 48440
221 265 5920
268 797 0
139 512 10060
576 685 39960
63 660 0
207 498 35290
417 854 54020
360 706 41260
882 926 34130
510 841 69660
590 837 47280
167 367 95790
140 958 29040
727 975 52340
61 296 0
381 623 34330
421 828 27680
581 684 28030
612 736 0
75 378 0
734 923 180
176 408 9570
263 688 40960
462 788 88170
543 835 14520
525 954 28890
201 563 13870
561 570 0
250 922 13960
501 534 0
14 392 71320
385 565 0
126 566 0
517 802 85410
458 663 69040
416 848 99570
149 833 76930
114 859 18920
213 575 21990
473 828 68960
598 681 68160
303 819 70520
541 776 69370
126 878 27840
59 275 0
513 706 15180
355 690 43810
224 898 0
5 846 0
504 609 0
328 881 93390
423 676 77920
540 770 0
496 714 60810
133 551 96560
171 427 99780
144 349 77460
740 894 89380
445 606 50680
123 244 59310
391 991 0
613 808 81290
677 891 95870
690 959 32790
842 894 6610
60 236 9710
479 852 99080
471 903 47490
150 632 38270
353 955 29310
43 731 6770
41 379 98290
42 885 34780
127 905 34010
1 352 0
272 753 0
67 332 0
220 365 30630
141 252 0
518 820 8490
375 859 0
299 404 73180
202 931 21520
415 742 26640
124 194 71920
612 763 4940
34 426 880
366 536 54680
196 838 56290
366 401 290
19 607 92430
921 936 62280
514 973 0
423 975 0
223 395 0
392 822 0
192 889 0
169 539 48820
497 754 41580
153 658 0
158 495 0
201 847 38530
78 829 25110
44 115 0
469 659 28960
180 768 41730
364 706 0
173 270 68640
736 884 0
558 623 0
544 930 53620
267 752 80610
154 950 19170
551 993 53010
216 312 50610
118 150 92030
53 205 0
83 840 15630
474 828 84340
364 554 14140
627 747 22790
462 613 39620
293 530 71870
488 983 89060
40 442 34840
538 736 53420
230 460 24860
470 590 61560
409 677 3330
115 854 3830
49 535 39070
457 614 21380
447 684 0
602 855 4560
36 556 13380
155 711 43930
280 737 20290
113 813 27410
268 393 85780
377 478 810
132 688 69640
444 476 0
177 721 36240
373 800 42570
406 807 32870
37 977 43770
441 877 27160
363 473 60540
231 957 0
54 449 61010
104 468 86810
826 861 40730
852 867 0
54 687 77080
305 354 95170
117 949 60370
235 728 92640
60 405 0
442 533 0
41 329 38920
566 731 15420
375 809 11960
358 445 17130
175 882 59330
309 482 47340
467 846 60730
176 987 83780
27 679 34420
394 851 0
227 437 90390
1 598 20460
48 293 0
673 719 0
17 782 87290
332 527 0
106 214 51110
489 581 11330
382 533 69530
538 695 91870
500 892 95570
792 887 71110
848 857 0
102 124 23010
345 979 80570
543 549 24640
380 835 69590
301 584 87140
238 557 96960
79 341 37420
325 719 69860
484 522 16190
369 404 0
64 875 87920
50 321 12060
509 607 85010
522 791 35110
209 828 65930
590 620 21080
482 693 0
504 802 78520
757 974 76730
99 978 40960
155 488 560
50 641 74820
484 665 48130
283 759 4780
928 937 0
687 946 29270
793 847 8330
881 943 46730
405 920 75430
298 946 32820
13 763 3320
443 689 0
211 871 23470
16 662 23960
591 909 70430
417 531 54720
44 988 67190
119 485 30670
231 583 77610
932 941 7830
423 435 8170
702 796 68890
732 839 50290
78 487 15870
535 884 32510
111 981 50180
138 909 71710
697 766 0
561 632 33370
24 372 80460
163 705 0
41 116 35530
133 533 77770
20 826 0
736 845 78810
268 899 54520
159 924 19690
699 921 0
278 881 57230
198 368 0
6 724 21030
110 146 86610
248 892 98160
393 809 4380
962 986 0
130 971 50280
365 413 10680
511 758 87120
66 147 10380
70 139 58330
119 930 30240
428 551 54890
67 158 74080
185 394 0
495 946 0
359 706 88570
234 456 9580
747 928 0
141 691 93410
239 790 52870
84 725 74110
125 591 79970
168 605 8730
372 605 0
51 425 1970
430 701 33690
333 363 0
146 721 75640
380 416 78740
385 395 36540
200 360 48490
22 743 0
509 577 84190
86 668 61520
102 551 2170
317 606 0
200 361 17110
155 538 77310
435 642 1790
906 946 0
49 612 20060
138 778 10840
55 905 30290
754 884 13980
223 420 85480
118 943 94410
26 412 8960
24 772 3810
603 991 57570
48 282 64610
228 395 60010
73 727 28290
203 265 33240
451 610 93360
230 264 54730
600 984 92590
213 695 13710
379 791 37620
226 494 65310
109 939 65880
335 882 27970
264 421 0
102 538 87920
404 537 60490
251 931 0
252 471 42160
47 954 67690
459 578 0
720 965 24530
371 901 33280
242 326 63230
532 929 68980
383 968 47290
137 645 0
336 903 0
378 383 2420
424 783 36520
88 963 55580
695 760 6580
375 867 23590
360 521 63620
17 921 75880
749 918 66230
566 826 30120
174 589 44370
292 621 16460
520 789 34070
14 466 97410
59 850 91890
769 938 87230
667 977 78720
408 501 81560
467 596 47190
7 508 0
717 811 37830
704 939 77280
120 819 6920
87 719 43490
355 750 78460
937 940 0
502 568 95210
596 845 37140
380 461 21770
565 671 8520
84 106 93370
97 818 0
446 955 74130
785 933 44220
361 499 0
427 704 91080
550 813 420
453 473 89180
808 872 88680
94 195 0
242 703 0
80 352 52060
4 906 41120
137 475 95640
117 367 97220
32 630 86630
255 508 67210
655 971 96980
171 232 77910
465 533 19930
463 627 55630
64 502 53140
46 340 48620
243 821 22810
268 377 9130
421 801 55890
208 785 0
478 946 53190
66 331 13090
25 120 65080
235 634 51440
18 977 2590
159 875 36760
67 69 0
346 743 40930
805 951 15660
288 946 94760
14 775 41630
119 696 46930
357 942 0
109 368 0
61 944 94090
61 581 82180
204 838 0
174 895 68680
408 774 83760
381 581 16130
458 779 14880
849 855 0
237 858 54670
372 454 610
871 953 0
319 339 35540
687 731 58310
101 387 85510
157 966 6430
602 807 54090
664 809 73740
200 594 37490
133 818 26920
225 603 76120
101 336 0
107 737 29140
700 803 7770
439 534 0
53 138 0
